Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
5/1/18,Vila Mariana,-23.5895,-46.6346,23793,49,51,10,21,15,5,15,29,NORMAL,13801
,República,-23.5436,-46.6434,109509,58,9,14,30,17,33,23,30,NORMAL,6539
7/28/19,Vila Mariana,-23.5895,-46.6346,23107,37,47,16,27,21,7,27,25,NORMAL,14248
4/2/19,Vila Mariana,-23.5895,-46.6346,24943,42,65,61,37,11,16,14,43,NORMAL,14132
3/1/18,Brooklin,-23.6263,-46.6878,29171,18,3,31,18,25,27,41,8,REABASTECER,14461
6/6/19,Trianon-Masp,-23.5634,-46.6544,44145,73,52,19,15,37,29,19,30,NORMAL,1956
5/27/18,Luz,-23.5365,-46.6332,127311,8,32,31,28,6,21,16,8,NORMAL,10947
8/27/19,Trianon-Masp,-23.5634,-46.6544,42028,49,65,47,24,38,21,38,38,NORMAL,2037
9/26/19,Trianon-Masp,-23.5634,-46.6544,44903,28,34,42,16,4,31,39,6,REABASTECER,2066
10/5/19,Trianon-Masp,-23.5634,-46.6544,42224,21,43,47,19,10,37,11,3,REABASTECER,2075
8/6/19,Consolação,-23.5581,-46.6606,115251,47,11,19,9,23,17,3,43,NORMAL,2736
6/17/19,Luz,-23.5365,-46.6332,127530,9,12,61,26,5,17,33,22,NORMAL,11327
8/21/18,Consolação,-23.5581,-46.6606,115282,67,39,36,18,43,26,13,9,NORMAL,2391
6/6/18,Tamanduateí,-23.5929,-46.5897,50987,17,18,58,24,19,9,43,29,NORMAL,3036
8/10/18,Tamanduateí,-23.5929,-46.5897,52117,38,6,57,43,43,12,13,27,REABASTECER,3100
10/6/19,Luz,-23.5365,-46.6332,125105,72,65,35,8,26,17,43,25,NORMAL,11436
4/2/18,Ana Rosa,-23.5813,-46.6383,66353,68,11,31,34,40,43,13,31,NORMAL,11612
8/8/18,Ana Rosa,-23.5813,-46.6383,64470,40,44,14,13,34,16,21,40,NORMAL,11738
8/11/19,Tamanduateí,-23.5929,-46.5897,51680,23,40,36,6,26,26,16,37,REABASTECER,3461
10/30/18,Ana Rosa,-23.5813,-46.6383,64357,61,31,17,6,38,28,40,16,REABASTECER,11820
1/8/18,Tamanduateí,-23.5929,-46.5897,52547,13,25,18,21,17,18,11,19,NORMAL,2888
2/7/19,Ana Rosa,-23.5813,-46.6383,64616,66,54,14,19,18,16,18,19,NORMAL,11917
3/17/18,Sé,-23.55,-46.6333,194342,14,65,10,21,9,43,6,43,NORMAL,3677
5/23/18,Sé,-23.55,-46.6333,194315,86,12,19,32,6,26,1,41,NORMAL,3743
9/3/18,Tamanduateí,-23.5929,-46.5897,52646,67,27,27,13,34,29,7,21,NORMAL,3123
6/2/18,Sé,-23.55,-46.6333,194090,86,19,17,12,13,4,19,5,REABASTECER,3752
10/12/19,Ana Rosa,-23.5813,-46.6383,65387,52,29,58,5,33,38,31,34,NORMAL,12162
9/21/18,Sé,-23.55,-46.6333,194725,62,32,9,43,15,20,27,14,NORMAL,3861
4/16/19,Sé,-23.55,-46.6333,194855,15,10,45,9,17,21,4,7,NORMAL,4066
5/26/19,Sé,-23.55,-46.6333,194314,42,40,65,16,23,25,13,18,NORMAL,4106
8/1/18,São Joaquim,-23.5618,-46.6389,34289,24,39,20,11,31,26,38,31,NORMAL,12451
9/10/18,São Joaquim,-23.5618,-46.6389,33444,56,65,10,7,43,32,16,16,NORMAL,12490
11/27/19,Tamanduateí,-23.5929,-46.5897,50012,17,65,20,8,9,15,41,31,NORMAL,3567
7/11/18,Brás,-23.5451,-46.6162,73518,45,26,16,43,31,19,35,31,NORMAL,4511
10/29/18,Brás,-23.5451,-46.6162,71971,86,62,25,28,16,17,34,39,NORMAL,4619
1/5/19,Brás,-23.5451,-46.6162,71074,61,39,37,6,37,10,19,29,REABASTECER,4685
4/30/19,Sé,-23.55,-46.6333,192069,67,65,65,13,9,23,30,38,NORMAL,4080
2/22/19,Brás,-23.5451,-46.6162,71569,5,65,46,30,21,41,35,18,REABASTECER,4732
3/8/19,Brás,-23.5451,-46.6162,74132,26,37,65,27,43,30,18,43,NORMAL,4748
10/17/19,Sé,-23.55,-46.6333,192764,32,6,50,21,14,43,32,35,REABASTECER,4247
11/27/19,Sé,-23.55,-46.6333,191406,19,6,35,15,37,43,41,2,REABASTECER,4287
1/30/18,Brás,-23.5451,-46.6162,72595,50,28,56,43,18,43,10,6,REABASTECER,4350
7/12/18,Brás,-23.5451,-46.6162,74258,34,23,8,41,28,18,33,25,NORMAL,4512
6/13/18,Barra Funda,-23.5542,-46.6707,149930,25,6,45,8,27,31,38,33,NORMAL,5203
5/30/19,São Judas,-23.6255,-46.6411,14833,74,36,65,33,37,5,9,30,REABASTECER,13470
6/28/18,Barra Funda,-23.5542,-46.6707,149398,52,48,65,29,17,25,28,15,NORMAL,5218
7/17/19,São Judas,-23.6255,-46.6411,15896,44,14,65,14,8,28,43,43,NORMAL,13517
7/25/19,São Judas,-23.6255,-46.6411,14621,50,25,25,37,22,9,14,9,NORMAL,13525
11/8/18,Brás,-23.5451,-46.6162,74068,86,8,28,38,21,35,41,43,NORMAL,4628
10/13/19,São Judas,-23.6255,-46.6411,14387,62,23,53,43,43,16,43,43,NORMAL,13603
2/12/19,Brás,-23.5451,-46.6162,72206,17,65,53,24,14,30,31,11,NORMAL,4722
2/12/19,Barra Funda,-23.5542,-46.6707,149480,65,28,59,27,43,8,9,12,NORMAL,5442
4/25/18,Vila Mariana,-23.5895,-46.6346,22986,18,18,52,38,43,25,39,12,NORMAL,13795
8/16/19,Brás,-23.5451,-46.6162,71396,16,52,19,26,25,5,17,43,NORMAL,4906
11/18/19,Barra Funda,-23.5542,-46.6707,150607,48,8,46,8,36,20,22,5,REABASTECER,5718
6/2/18,Barra Funda,-23.5542,-46.6707,147611,51,65,59,43,35,26,35,24,NORMAL,5192
11/18/19,Consolação,-23.5581,-46.6606,114282,86,24,36,34,31,43,15,43,NORMAL,2838
12/24/19,Consolação,-23.5581,-46.6606,114525,86,65,58,32,28,16,43,34,NORMAL,2874
1/1/18,Tamanduateí,-23.5929,-46.5897,52102,86,65,65,43,43,43,43,43,NORMAL,2881
12/14/19,Fradique Coutinho,-23.5661,-46.6841,35293,86,12,44,42,43,18,41,33,NORMAL,10784
4/19/19,Fradique Coutinho,-23.5661,-46.6841,33334,61,26,40,12,18,24,11,15,NORMAL,10549
9/21/19,Fradique Coutinho,-23.5661,-46.6841,33783,47,31,25,42,7,21,17,8,NORMAL,10701
1/25/19,Tamanduateí,-23.5929,-46.5897,51438,67,10,44,43,29,20,32,34,NORMAL,3265
11/4/19,Fradique Coutinho,-23.5661,-46.6841,35613,48,65,38,31,22,9,21,28,NORMAL,10744
4/24/18,Luz,-23.5365,-46.6332,127587,62,28,1,41,32,25,13,23,NORMAL,10914
7/3/19,Luz,-23.5365,-46.6332,127826,24,51,20,32,23,9,10,34,NORMAL,11343
7/20/19,Luz,-23.5365,-46.6332,124823,38,10,42,11,43,36,25,6,NORMAL,11360
7/24/19,Luz,-23.5365,-46.6332,123976,86,55,16,42,30,27,12,29,NORMAL,11364
6/23/18,Luz,-23.5365,-46.6332,127657,10,17,54,34,18,40,7,31,REABASTECER,10973
10/7/19,Tamanduateí,-23.5929,-46.5897,49807,86,43,38,4,43,39,18,15,REABASTECER,3517
8/7/18,Luz,-23.5365,-46.6332,126274,24,12,30,23,32,34,3,19,REABASTECER,11017
2/11/18,Ana Rosa,-23.5813,-46.6383,64433,46,16,50,43,6,43,5,24,REABASTECER,11561
3/20/18,Sé,-23.55,-46.6333,191325,78,50,59,10,41,29,35,28,NORMAL,3680
4/3/18,Ana Rosa,-23.5813,-46.6383,64190,61,8,27,29,38,43,8,28,NORMAL,11613
6/12/18,Sé,-23.55,-46.6333,192826,75,29,18,15,17,12,16,11,NORMAL,3762
6/1/19,Luz,-23.5365,-46.6332,127395,77,51,36,31,33,30,15,38,NORMAL,11311
6/9/19,Luz,-23.5365,-46.6332,124585,86,57,49,14,43,5,28,8,NORMAL,11319
11/13/18,Sé,-23.55,-46.6333,192034,76,20,38,11,33,25,43,29,NORMAL,3913
3/5/19,Ana Rosa,-23.5813,-46.6383,64901,54,13,36,20,33,24,43,40,NORMAL,11945
6/2/19,Sé,-23.55,-46.6333,191694,75,4,17,41,38,8,33,33,REABASTECER,4112
6/10/19,Sé,-23.55,-46.6333,194282,86,25,24,17,43,25,40,41,NORMAL,4120
7/24/19,Sé,-23.55,-46.6333,193062,86,31,33,2,43,6,29,38,REABASTECER,4164
5/6/18,Ana Rosa,-23.5813,-46.6383,64575,86,3,65,14,18,29,13,28,NORMAL,11646
5/19/18,Ana Rosa,-23.5813,-46.6383,67184,34,49,34,15,4,25,43,20,REABASTECER,11659
9/4/19,Sé,-23.55,-46.6333,192706,45,48,26,7,6,43,27,43,REABASTECER,4204
12/25/19,Ana Rosa,-23.5813,-46.6383,66541,63,29,51,32,28,43,15,32,NORMAL,12235
3/16/18,Brás,-23.5451,-46.6162,74248,18,32,9,20,4,21,41,31,NORMAL,4396
4/7/18,Brás,-23.5451,-46.6162,73726,68,49,55,29,10,43,34,38,NORMAL,4417
1/8/19,Ana Rosa,-23.5813,-46.6383,64466,86,34,20,24,43,30,4,40,NORMAL,11888
7/18/18,São Joaquim,-23.5618,-46.6389,34803,63,50,45,4,36,32,3,27,NORMAL,12438
7/18/19,Ana Rosa,-23.5813,-46.6383,67426,75,41,12,40,25,18,43,7,NORMAL,12078
10/24/18,São Joaquim,-23.5618,-46.6389,33773,19,11,34,18,30,24,2,18,REABASTECER,12534
5/18/19,São Joaquim,-23.5618,-46.6389,34905,12,43,59,11,5,9,4,38,NORMAL,12738
4/3/18,São Joaquim,-23.5618,-46.6389,34184,53,24,9,35,26,42,13,33,NORMAL,12333
6/20/19,São Joaquim,-23.5618,-46.6389,35626,50,54,21,29,6,32,43,39,REABASTECER,12770
8/15/19,Brás,-23.5451,-46.6162,70775,25,58,29,28,31,11,20,4,REABASTECER,4905
11/8/19,Brás,-23.5451,-46.6162,70949,51,63,36,26,6,13,37,13,REABASTECER,4988
11/23/19,Brás,-23.5451,-46.6162,71371,86,30,10,26,31,25,22,39,NORMAL,5003
11/10/19,São Joaquim,-23.5618,-46.6389,32835,86,48,46,14,35,5,22,20,REABASTECER,12910
12/12/19,São Joaquim,-23.5618,-46.6389,36485,44,38,20,6,7,22,6,21,NORMAL,12942
12/27/19,São Joaquim,-23.5618,-46.6389,32692,58,57,40,42,39,23,38,39,NORMAL,12957
12/19/18,São Joaquim,-23.5618,-46.6389,34510,76,52,61,32,9,18,41,9,NORMAL,12589
1/18/19,São Joaquim,-23.5618,-46.6389,36104,57,55,65,21,15,19,7,31,NORMAL,12618
4/30/18,São Judas,-23.6255,-46.6411,15181,71,22,49,18,37,25,7,11,NORMAL,13080
6/30/18,Barra Funda,-23.5542,-46.6707,148261,33,38,49,24,10,20,23,9,NORMAL,5220
6/19/18,São Judas,-23.6255,-46.6411,14258,36,31,30,29,14,13,7,28,NORMAL,13129
6/11/19,São Joaquim,-23.5618,-46.6389,36217,40,43,29,11,43,19,32,30,NORMAL,12761
5/14/19,São Judas,-23.6255,-46.6411,14478,74,65,27,35,20,19,27,12,NORMAL,13454
7/10/19,Barra Funda,-23.5542,-46.6707,148977,18,41,65,33,8,41,17,3,NORMAL,5590
11/22/18,São Judas,-23.6255,-46.6411,14670,86,11,23,16,5,43,7,13,REABASTECER,13282
4/8/18,Vila Mariana,-23.5895,-46.6346,22420,14,60,50,14,9,26,20,40,NORMAL,13778
2/2/19,São Judas,-23.6255,-46.6411,15312,24,29,65,39,26,43,12,20,NORMAL,13352
4/28/18,Vila Mariana,-23.5895,-46.6346,24099,77,65,28,28,33,16,28,43,NORMAL,13798
11/14/18,Consolação,-23.5581,-46.6606,111951,16,43,60,19,15,13,28,23,NORMAL,2474
9/14/18,Luz,-23.5365,-46.6332,125197,76,16,20,34,8,21,36,34,NORMAL,11054
6/27/19,Ana Rosa,-23.5813,-46.6383,65178,14,39,25,24,20,30,7,7,NORMAL,12057
9/1/19,Ana Rosa,-23.5813,-46.6383,63951,15,19,37,34,29,13,14,37,NORMAL,12121
1/21/18,São Joaquim,-23.5618,-46.6389,34496,60,65,41,26,39,20,43,9,NORMAL,12261
7/12/18,São Joaquim,-23.5618,-46.6389,33094,30,25,17,28,13,6,28,5,NORMAL,12432
4/4/18,Ana Rosa,-23.5813,-46.6383,63940,50,65,21,23,32,40,5,24,NORMAL,11614
6/12/18,Tamanduateí,-23.5929,-46.5897,49633,46,63,12,5,34,33,11,4,REABASTECER,3042
8/14/19,São Joaquim,-23.5618,-46.6389,32879,37,51,16,38,7,43,35,6,REABASTECER,12824
6/24/19,Tamanduateí,-23.5929,-46.5897,50807,46,62,48,33,31,19,35,19,NORMAL,3414
1/30/18,São Judas,-23.6255,-46.6411,15879,79,25,61,5,13,39,43,5,NORMAL,12990
8/8/19,Tamanduateí,-23.5929,-46.5897,53267,50,56,56,19,43,30,28,11,NORMAL,3458
7/12/19,Ana Rosa,-23.5813,-46.6383,64883,45,18,50,19,7,37,30,35,NORMAL,12072
2/12/18,Sé,-23.55,-46.6333,194993,13,19,36,34,37,13,20,10,NORMAL,3642
6/14/18,Sé,-23.55,-46.6333,191738,56,15,2,6,9,8,7,4,REABASTECER,3764
7/8/18,Sé,-23.55,-46.6333,193539,86,12,65,26,41,23,9,34,NORMAL,3788
3/15/19,São Judas,-23.6255,-46.6411,16087,31,31,36,18,20,43,43,29,NORMAL,13395
5/27/19,São Judas,-23.6255,-46.6411,15478,20,52,17,40,8,13,23,43,NORMAL,13467
11/15/18,Sé,-23.55,-46.6333,194433,56,10,27,11,23,17,37,25,NORMAL,3915
7/4/19,São Judas,-23.6255,-46.6411,13726,86,26,22,6,20,23,14,8,REABASTECER,13504
2/11/19,São Joaquim,-23.5618,-46.6389,33696,7,46,29,30,8,37,16,29,REABASTECER,12641
4/1/19,Sé,-23.55,-46.6333,193698,86,53,9,7,32,17,16,31,REABASTECER,4051
4/2/19,Sé,-23.55,-46.6333,194121,77,49,65,7,30,14,14,29,NORMAL,4052
12/15/19,São Judas,-23.6255,-46.6411,13919,62,48,35,42,12,18,4,11,REABASTECER,13665
8/11/19,São Joaquim,-23.5618,-46.6389,35494,66,6,43,7,16,8,4,20,NORMAL,12821
11/18/18,Vila Mariana,-23.5895,-46.6346,21624,23,34,61,36,34,27,31,40,NORMAL,13998
3/20/18,São Judas,-23.6255,-46.6411,15495,1,65,65,42,25,9,10,43,NORMAL,13040
5/1/18,Brás,-23.5451,-46.6162,74058,22,13,15,37,35,17,25,22,NORMAL,4441
6/17/18,São Judas,-23.6255,-46.6411,15815,53,38,47,38,24,20,12,36,NORMAL,13127
3/16/19,Vila Mariana,-23.5895,-46.6346,21964,14,31,36,18,29,22,27,19,NORMAL,14116
3/29/19,Vila Mariana,-23.5895,-46.6346,22906,69,23,10,12,24,25,24,14,NORMAL,14129
5/1/19,Vila Mariana,-23.5895,-46.6346,21531,86,23,42,21,27,18,22,10,NORMAL,14161
1/21/18,Brooklin,-23.6263,-46.6878,27234,73,58,43,14,13,12,2,6,REABASTECER,14421
8/17/19,Brás,-23.5451,-46.6162,73312,8,46,14,24,23,43,14,41,REABASTECER,4907
3/15/18,Vila Mariana,-23.5895,-46.6346,24693,71,0,6,35,24,22,19,4,NORMAL,13755
4/16/18,Vila Mariana,-23.5895,-46.6346,22214,30,65,58,28,28,10,34,6,REABASTECER,13786
1/26/19,Brooklin,-23.6263,-46.6878,29744,67,40,18,37,13,19,30,33,NORMAL,14786
6/20/19,Brooklin,-23.6263,-46.6878,29472,32,34,37,14,14,27,4,43,REABASTECER,14930
10/21/18,Barra Funda,-23.5542,-46.6707,149437,15,15,44,27,26,7,39,19,NORMAL,5331
1/14/19,Vila Mariana,-23.5895,-46.6346,23577,86,5,65,12,28,30,20,7,REABASTECER,14054
12/29/18,Barra Funda,-23.5542,-46.6707,148623,24,24,38,36,15,12,17,15,NORMAL,5399
2/17/19,Barra Funda,-23.5542,-46.6707,150733,11,65,20,10,22,42,30,30,REABASTECER,5447
3/12/18,Campo Belo,-23.6188,-46.6823,25850,62,56,50,7,26,9,4,30,NORMAL,15192
3/20/18,Campo Belo,-23.6188,-46.6823,26273,73,57,56,24,39,29,10,40,NORMAL,15200
8/6/19,Barra Funda,-23.5542,-46.6707,146793,33,18,22,6,22,20,41,30,REABASTECER,5616
12/10/19,Vila Mariana,-23.5895,-46.6346,24463,19,60,60,18,23,14,19,33,NORMAL,14380
10/27/18,Campo Belo,-23.6188,-46.6823,25808,23,6,37,4,3,16,6,29,NORMAL,15417
11/14/18,Campo Belo,-23.6188,-46.6823,24537,32,37,54,36,12,18,18,3,REABASTECER,15434
4/16/19,Trianon-Masp,-23.5634,-46.6544,44963,18,23,3,43,19,11,4,26,NORMAL,1906
10/25/19,Campo Belo,-23.6188,-46.6823,26798,54,32,45,15,20,42,31,6,REABASTECER,15775
5/26/19,Trianon-Masp,-23.5634,-46.6544,43929,78,55,29,43,31,12,19,26,NORMAL,1946
9/8/19,Trianon-Masp,-23.5634,-46.6544,45651,26,13,45,29,37,35,33,39,NORMAL,2048
9/29/19,Trianon-Masp,-23.5634,-46.6544,42076,86,18,22,43,35,17,31,31,NORMAL,2069
11/12/19,Trianon-Masp,-23.5634,-46.6544,42133,14,1,51,13,43,29,31,16,REABASTECER,2112
2/26/18,Trianon-Masp,-23.5634,-46.6544,45371,76,51,8,7,43,41,34,41,NORMAL,1496
10/12/18,Trianon-Masp,-23.5634,-46.6544,42645,11,5,58,15,40,20,15,4,REABASTECER,1722
11/3/18,Trianon-Masp,-23.5634,-46.6544,45473,57,14,65,43,25,38,23,43,NORMAL,1743
11/19/18,Trianon-Masp,-23.5634,-46.6544,43075,79,54,20,43,11,34,13,12,NORMAL,1759
1/12/19,Trianon-Masp,-23.5634,-46.6544,44082,86,65,38,9,3,10,23,15,NORMAL,1812
11/6/18,Consolação,-23.5581,-46.6606,113586,8,21,46,5,5,26,19,15,NORMAL,2466
1/16/19,Trianon-Masp,-23.5634,-46.6544,44378,49,44,9,38,31,40,7,43,NORMAL,1816
3/24/19,Trianon-Masp,-23.5634,-46.6544,42427,59,24,8,34,16,39,8,34,REABASTECER,1884
5/24/19,Eucaliptos,-23.61,-46.6686,23580,34,6,19,23,40,21,20,17,NORMAL,16344
6/5/19,Consolação,-23.5581,-46.6606,112375,65,28,35,9,25,39,5,37,REABASTECER,2675
9/27/19,Eucaliptos,-23.61,-46.6686,25480,48,4,28,38,43,13,37,29,REABASTECER,16467
10/30/19,Eucaliptos,-23.61,-46.6686,21601,86,58,13,23,1,33,12,19,NORMAL,16500
10/15/19,Trianon-Masp,-23.5634,-46.6544,43484,12,43,42,34,17,8,8,5,REABASTECER,2085
11/13/19,Trianon-Masp,-23.5634,-46.6544,42602,2,65,45,10,40,28,26,14,NORMAL,2113
2/4/18,Moema,-23.5489,-46.6388,18717,30,65,32,23,31,14,35,1,NORMAL,16594
1/27/18,Tamanduateí,-23.5929,-46.5897,51007,16,27,28,21,26,40,9,23,NORMAL,2907
6/19/18,Consolação,-23.5581,-46.6606,113896,53,57,6,14,23,10,6,43,NORMAL,2329
9/7/18,Tamanduateí,-23.5929,-46.5897,51723,30,3,60,41,21,22,35,9,NORMAL,3127
9/5/19,Hospital São Paulo,-23.5984,-46.6455,24398,46,40,40,15,9,19,25,17,NORMAL,16901
12/18/19,Hospital São Paulo,-23.5984,-46.6455,26636,59,34,12,22,16,11,43,25,NORMAL,17004
5/2/19,Tamanduateí,-23.5929,-46.5897,52751,30,51,27,22,32,38,30,36,NORMAL,3362
4/23/18,Paraíso,-23.57677,-46.63933,71641,19,49,7,43,5,29,20,23,NORMAL,113
7/29/18,Paraíso,-23.57677,-46.63933,73597,38,41,60,16,13,27,34,8,NORMAL,209
2/11/18,Tamanduateí,-23.5929,-46.5897,49533,61,28,65,18,14,35,35,11,NORMAL,2921
1/2/19,Paraíso,-23.57677,-46.63933,73614,66,42,59,17,40,40,28,40,NORMAL,362
4/7/18,Tamanduateí,-23.5929,-46.5897,50137,49,10,61,37,43,12,26,43,NORMAL,2977
4/11/18,Tamanduateí,-23.5929,-46.5897,50712,12,54,36,17,33,34,12,25,NORMAL,2981
10/21/18,Tamanduateí,-23.5929,-46.5897,50399,27,11,11,43,14,36,20,17,NORMAL,3171
7/19/19,Paraíso,-23.57677,-46.63933,70872,60,24,22,19,9,31,34,19,NORMAL,559
3/19/18,Brigadeiro,-23.5683,-46.6482,47928,18,58,28,39,27,34,29,4,NORMAL,799
7/19/19,Tamanduateí,-23.5929,-46.5897,49608,66,40,57,37,29,26,7,39,NORMAL,3439
10/22/19,Sé,-23.55,-46.6333,192372,78,41,7,43,38,24,11,13,NORMAL,4252
12/21/19,Sé,-23.55,-46.6333,191842,46,52,10,41,23,3,19,37,REABASTECER,4311
1/2/18,Brás,-23.5451,-46.6162,73874,75,60,56,43,38,38,37,37,NORMAL,4322
2/2/19,Brigadeiro,-23.5683,-46.6482,46101,86,24,65,6,18,14,5,41,REABASTECER,1112
4/19/19,Brigadeiro,-23.5683,-46.6482,47983,22,31,57,26,43,17,40,33,NORMAL,1189
10/24/18,Sé,-23.55,-46.6333,193347,86,43,42,36,20,24,35,18,NORMAL,3894
6/6/19,Brigadeiro,-23.5683,-46.6482,49124,9,54,47,32,18,30,22,7,REABASTECER,1236
6/11/19,Brigadeiro,-23.5683,-46.6482,46679,45,19,10,17,35,17,2,32,NORMAL,1241
11/10/19,Brigadeiro,-23.5683,-46.6482,47809,56,17,20,24,14,39,29,36,NORMAL,1390
3/25/19,Brás,-23.5451,-46.6162,73930,31,10,18,30,14,24,37,30,NORMAL,4765
6/24/19,Brás,-23.5451,-46.6162,72497,2,54,52,9,32,16,16,31,REABASTECER,4854
5/26/18,Trianon-Masp,-23.5634,-46.6544,42886,45,9,44,27,21,12,28,40,REABASTECER,1586
9/16/19,Brás,-23.5451,-46.6162,70636,61,65,65,37,35,43,36,10,NORMAL,4936
2/7/18,Brás,-23.5451,-46.6162,71031,70,61,5,22,33,10,27,13,REABASTECER,4357
1/23/18,Barra Funda,-23.5542,-46.6707,149574,29,65,53,31,37,43,4,41,NORMAL,5063
7/6/18,Brás,-23.5451,-46.6162,72345,12,65,45,20,10,38,16,14,NORMAL,4506
