Tempo,Estacao,LAT,LONG,Original_473,Original_269,Zero,Maca_Verde,Tangerina,Citrus,Acai_Guarana,Pessego,TARGET
2019-12-07,Brooklin,-23.6263,-46.6878,39,28,40,21,21,22,18,26,NORMAL
2018-01-28,Campo Belo,-23.6188,-46.6823,77,40,24,6,25,14,17,24,NORMAL
2018-04-08,Campo Belo,-23.6188,-46.6823,86,7,57,8,11,24,25,15,REABASTECER
2018-04-14,Campo Belo,-23.6188,-46.6823,23,42,15,33,35,10,43,36,NORMAL
2018-05-21,Campo Belo,-23.6188,-46.6823,2,63,10,2,12,30,36,7,REABASTECER
2018-06-11,Campo Belo,-23.6188,-46.6823,74,65,6,36,17,3,37,15,NORMAL
2018-06-28,Campo Belo,-23.6188,-46.6823,76,19,17,30,31,38,16,35,NORMAL
2018-08-06,Campo Belo,-23.6188,-46.6823,39,60,16,43,17,6,13,11,NORMAL
2018-06-28,Eucaliptos,-23.61,-46.6686,76,24,52,34,4,14,16,43,NORMAL
2018-11-08,Eucaliptos,-23.61,-46.6686,65,17,52,37,29,15,33,39,NORMAL
2019-07-02,Eucaliptos,-23.61,-46.6686,86,8,5,25,17,10,34,32,REABASTECER
2018-01-02,Moema,-23.5489,-46.6388,77,56,61,43,41,39,37,40,NORMAL
2018-08-17,Moema,-23.5489,-46.6388,15,47,59,43,19,43,19,27,NORMAL
2018-10-07,Moema,-23.5489,-46.6388,39,9,65,5,31,24,40,43,REABASTECER
2018-11-22,Moema,-23.5489,-46.6388,22,63,7,40,33,16,31,9,NORMAL
2018-08-08,Paraíso,-23.57677,-46.63933,31,50,65,27,21,37,39,22,NORMAL
2018-09-23,Paraíso,-23.57677,-46.63933,9,39,21,8,5,34,35,20,REABASTECER
2018-12-12,Paraíso,-23.57677,-46.63933,5,15,65,4,32,10,18,35,REABASTECER
2019-05-24,Paraíso,-23.57677,-46.63933,9,19,3,10,4,2,6,25,REABASTECER
2019-08-27,Paraíso,-23.57677,-46.63933,46,55,30,28,28,31,7,30,NORMAL
2019-03-09,Brigadeiro,-23.5683,-46.6482,62,10,65,22,40,31,27,24,NORMAL
2019-07-23,Brigadeiro,-23.5683,-46.6482,64,54,43,4,8,27,8,38,REABASTECER
2019-10-10,Brigadeiro,-23.5683,-46.6482,86,1,47,16,38,38,15,32,NORMAL
2018-02-10,Trianon-Masp,-23.5634,-46.6544,54,15,56,12,22,4,41,12,REABASTECER
2018-09-13,Trianon-Masp,-23.5634,-46.6544,42,46,60,24,34,24,43,38,NORMAL
2018-10-19,Trianon-Masp,-23.5634,-46.6544,26,27,24,41,10,39,30,16,NORMAL
2019-05-22,Trianon-Masp,-23.5634,-46.6544,30,13,61,11,41,20,32,43,NORMAL
2019-07-14,Trianon-Masp,-23.5634,-46.6544,50,65,27,21,5,27,43,6,REABASTECER
2018-02-28,Consolação,-23.5581,-46.6606,43,33,61,10,33,38,9,41,NORMAL
2018-04-02,Consolação,-23.5581,-46.6606,41,24,33,23,23,24,43,38,NORMAL
2018-04-22,Consolação,-23.5581,-46.6606,20,14,27,42,25,34,10,7,NORMAL
2018-06-26,Consolação,-23.5581,-46.6606,68,1,17,33,36,31,17,14,NORMAL
2018-10-07,Consolação,-23.5581,-46.6606,50,47,31,40,29,21,43,34,NORMAL
2019-04-24,Consolação,-23.5581,-46.6606,48,12,11,26,25,30,8,29,NORMAL
2019-05-02,Consolação,-23.5581,-46.6606,56,28,12,43,37,13,22,37,NORMAL
2018-06-07,Tamanduateí,-23.5929,-46.5897,4,16,54,18,15,5,37,25,NORMAL
2018-06-28,Tamanduateí,-23.5929,-46.5897,52,28,35,40,18,28,32,20,NORMAL
2019-04-10,Tamanduateí,-23.5929,-46.5897,78,45,47,14,5,34,28,30,REABASTECER
2019-09-13,Tamanduateí,-23.5929,-46.5897,67,20,23,37,12,22,27,31,NORMAL
2018-01-16,Sé,-23.55,-46.6333,21,50,25,33,29,40,33,31,NORMAL
2018-01-19,Sé,-23.55,-46.6333,77,25,2,21,13,27,17,17,NORMAL
2018-12-28,Sé,-23.55,-46.6333,6,65,48,10,36,7,43,30,REABASTECER
2019-03-17,Sé,-23.55,-46.6333,50,9,36,9,9,11,39,5,REABASTECER
2019-03-23,Sé,-23.55,-46.6333,86,31,59,34,27,35,11,22,NORMAL
2019-04-14,Sé,-23.55,-46.6333,37,29,54,14,24,25,14,16,NORMAL
2018-05-10,Brás,-23.5451,-46.6162,28,27,26,43,40,33,30,28,NORMAL
2018-06-11,Brás,-23.5451,-46.6162,86,35,17,43,28,28,27,37,NORMAL
2018-07-21,Brás,-23.5451,-46.6162,32,27,16,13,37,37,41,31,NORMAL
2019-05-07,Brás,-23.5451,-46.6162,39,34,52,31,5,17,27,43,REABASTECER
2018-04-04,Barra Funda,-23.5542,-46.6707,31,40,12,25,2,40,34,5,REABASTECER
2018-04-21,Barra Funda,-23.5542,-46.6707,25,14,26,17,22,29,13,23,NORMAL
2018-05-12,Barra Funda,-23.5542,-46.6707,86,65,10,35,36,11,28,28,NORMAL
2018-09-13,Barra Funda,-23.5542,-46.6707,17,44,11,7,37,12,23,14,NORMAL
2018-11-08,Barra Funda,-23.5542,-46.6707,32,42,65,25,43,39,9,43,NORMAL
2019-05-02,Barra Funda,-23.5542,-46.6707,49,57,24,33,26,40,34,23,NORMAL
2018-06-02,Tatuapé,-23.5402,-46.5765,6,40,44,27,27,18,25,8,REABASTECER
2018-07-06,Tatuapé,-23.5402,-46.5765,3,28,42,5,10,10,20,34,NORMAL
2018-08-08,Tatuapé,-23.5402,-46.5765,41,21,29,22,7,33,20,21,NORMAL
2018-08-16,Tatuapé,-23.5402,-46.5765,44,51,48,38,20,43,28,31,NORMAL
2018-08-24,Tatuapé,-23.5402,-46.5765,56,10,47,17,34,23,40,40,NORMAL
2018-09-10,Tatuapé,-23.5402,-46.5765,86,49,3,8,6,14,10,15,NORMAL
2019-02-19,Tatuapé,-23.5402,-46.5765,86,54,17,26,11,17,18,20,NORMAL
2019-04-16,Tatuapé,-23.5402,-46.5765,41,3,33,20,23,14,37,21,REABASTECER
2019-06-24,Tatuapé,-23.5402,-46.5765,45,23,65,16,43,22,38,39,NORMAL
2019-06-30,Tatuapé,-23.5402,-46.5765,77,54,23,4,24,4,19,14,REABASTECER
2019-09-30,Tatuapé,-23.5402,-46.5765,19,21,55,3,8,37,35,39,REABASTECER
2019-10-19,Tatuapé,-23.5402,-46.5765,86,25,65,13,6,28,7,14,REABASTECER
2019-11-29,Tatuapé,-23.5402,-46.5765,40,37,50,13,34,6,11,27,NORMAL
2019-12-02,Tatuapé,-23.5402,-46.5765,10,14,30,43,20,40,2,17,REABASTECER
2018-06-29,República,-23.5436,-46.6434,69,65,44,11,18,22,43,16,NORMAL
,República,-23.5436,-46.6434,61,22,12,43,28,6,27,37,NORMAL
2019-09-23,República,-23.5436,-46.6434,25,20,42,28,23,15,12,22,NORMAL
2019-11-17,República,-23.5436,-46.6434,30,39,1,28,33,24,16,8,REABASTECER
2019-12-29,República,-23.5436,-46.6434,74,48,29,34,8,30,28,17,NORMAL
2019-12-30,República,-23.5436,-46.6434,67,42,20,34,3,27,22,14,NORMAL
2018-02-21,Higienópolis-Mackenzie,-23.5488,-46.6519,15,18,45,18,23,43,14,6,REABASTECER
2018-04-28,Higienópolis-Mackenzie,-23.5488,-46.6519,28,52,65,8,43,34,20,31,NORMAL
2018-09-10,Higienópolis-Mackenzie,-23.5488,-46.6519,24,20,56,34,30,36,29,15,NORMAL
2018-09-15,Higienópolis-Mackenzie,-23.5488,-46.6519,53,54,27,14,11,14,4,41,REABASTECER
2018-11-04,Higienópolis-Mackenzie,-23.5488,-46.6519,86,28,7,35,21,24,23,31,NORMAL
2018-11-06,Higienópolis-Mackenzie,-23.5488,-46.6519,66,14,58,27,15,22,15,23,NORMAL
2018-12-13,Higienópolis-Mackenzie,-23.5488,-46.6519,67,21,61,3,25,32,35,7,NORMAL
2019-11-19,Higienópolis-Mackenzie,-23.5488,-46.6519,58,54,7,29,33,25,11,36,REABASTECER
2018-06-01,Faria Lima,-23.5675,-46.6929,25,58,58,13,17,22,43,43,NORMAL
2018-08-22,Faria Lima,-23.5675,-46.6929,24,60,26,25,24,21,8,26,NORMAL
2019-01-29,Faria Lima,-23.5675,-46.6929,68,37,33,9,43,38,15,5,NORMAL
2019-04-03,Faria Lima,-23.5675,-46.6929,49,50,39,32,40,29,24,12,NORMAL
2019-05-08,Faria Lima,-23.5675,-46.6929,86,26,49,7,34,35,21,40,NORMAL
2019-11-20,Faria Lima,-23.5675,-46.6929,67,14,45,13,24,16,43,28,NORMAL
2019-12-08,Faria Lima,-23.5675,-46.6929,74,25,37,38,35,5,12,7,REABASTECER
2018-05-14,Brooklin,-23.6263,-46.6878,24,36,11,12,41,35,30,30,NORMAL
2018-08-09,Brooklin,-23.6263,-46.6878,58,32,12,36,43,41,23,38,NORMAL
2018-09-02,Brooklin,-23.6263,-46.6878,86,65,31,19,32,32,16,34,NORMAL
2018-02-13,Campo Belo,-23.6188,-46.6823,11,37,59,43,15,15,41,8,REABASTECER
2018-04-29,Campo Belo,-23.6188,-46.6823,40,6,31,21,19,17,31,16,REABASTECER
2018-08-07,Campo Belo,-23.6188,-46.6823,32,52,6,43,13,43,9,5,NORMAL
2019-03-03,Campo Belo,-23.6188,-46.6823,48,63,60,43,29,9,14,43,NORMAL
2019-05-06,Campo Belo,-23.6188,-46.6823,19,63,37,37,37,16,18,17,NORMAL
2019-06-20,Campo Belo,-23.6188,-46.6823,35,8,50,24,41,11,23,24,REABASTECER
2019-09-01,Campo Belo,-23.6188,-46.6823,47,24,21,15,21,22,35,1,REABASTECER
2019-10-09,Campo Belo,-23.6188,-46.6823,27,60,32,22,32,3,13,26,REABASTECER
2019-02-06,Eucaliptos,-23.61,-46.6686,59,37,45,19,43,38,28,32,NORMAL
2019-03-06,Eucaliptos,-23.61,-46.6686,7,46,49,23,12,5,43,25,NORMAL
2019-03-26,Eucaliptos,-23.61,-46.6686,73,39,32,43,24,19,7,30,NORMAL
2019-08-06,Eucaliptos,-23.61,-46.6686,31,52,38,6,25,21,31,36,REABASTECER
2018-03-07,Moema,-23.5489,-46.6388,44,65,44,25,34,32,23,31,NORMAL
2018-09-29,Moema,-23.5489,-46.6388,33,65,45,37,20,40,27,34,NORMAL
2019-05-16,Paraíso,-23.57677,-46.63933,11,14,60,26,35,28,43,19,REABASTECER
2018-01-09,Brigadeiro,-23.5683,-46.6482,4,17,0,11,14,9,10,13,REABASTECER
2018-02-28,Brigadeiro,-23.5683,-46.6482,39,54,65,9,38,30,23,38,NORMAL
2018-06-05,Brigadeiro,-23.5683,-46.6482,31,65,6,25,34,43,26,34,REABASTECER
2018-08-30,Brigadeiro,-23.5683,-46.6482,9,51,8,12,21,16,21,20,NORMAL
2019-03-01,Brigadeiro,-23.5683,-46.6482,69,53,48,43,31,21,14,10,NORMAL
2019-07-15,Brigadeiro,-23.5683,-46.6482,61,36,34,28,37,5,43,24,REABASTECER
2018-11-05,Trianon-Masp,-23.5634,-46.6544,34,65,55,37,19,28,17,33,NORMAL
2019-02-13,Trianon-Masp,-23.5634,-46.6544,34,17,25,43,19,37,31,33,NORMAL
2019-02-24,Trianon-Masp,-23.5634,-46.6544,3,23,13,10,16,43,31,29,NORMAL
2019-02-28,Trianon-Masp,-23.5634,-46.6544,55,55,46,43,43,31,18,12,NORMAL
2018-09-03,Consolação,-23.5581,-46.6606,35,52,14,21,37,38,13,43,NORMAL
2018-12-25,Consolação,-23.5581,-46.6606,54,55,48,11,11,36,38,41,NORMAL
2019-02-03,Consolação,-23.5581,-46.6606,53,65,56,22,26,33,6,5,REABASTECER
2019-03-16,Consolação,-23.5581,-46.6606,67,47,18,18,43,30,43,10,NORMAL
2019-11-27,Consolação,-23.5581,-46.6606,86,46,37,21,38,9,22,15,NORMAL
2018-04-05,Tamanduateí,-23.5929,-46.5897,69,24,9,41,10,24,35,10,REABASTECER
2019-10-22,Tamanduateí,-23.5929,-46.5897,29,23,61,34,24,30,2,39,NORMAL
2018-05-05,Sé,-23.55,-46.6333,8,53,8,5,36,43,24,23,NORMAL
2018-10-15,Sé,-23.55,-46.6333,86,19,41,15,9,7,22,9,NORMAL
2019-03-12,Sé,-23.55,-46.6333,7,36,9,26,31,27,15,24,NORMAL
2019-05-04,Sé,-23.55,-46.6333,23,41,29,43,32,11,12,15,NORMAL
2019-12-13,Sé,-23.55,-46.6333,40,42,2,24,12,26,5,19,NORMAL
2018-01-19,Brás,-23.5451,-46.6162,73,34,65,31,10,24,8,17,NORMAL
2018-06-28,Brás,-23.5451,-46.6162,10,54,29,38,43,21,7,7,REABASTECER
2018-10-15,Brás,-23.5451,-46.6162,54,6,65,17,33,27,8,14,REABASTECER
2019-03-10,Brás,-23.5451,-46.6162,10,26,53,21,35,24,8,36,NORMAL
2019-09-13,Brás,-23.5451,-46.6162,12,16,21,7,43,9,4,23,REABASTECER
2019-10-02,Brás,-23.5451,-46.6162,63,24,21,32,13,38,10,31,NORMAL
2019-12-11,Brás,-23.5451,-46.6162,86,54,36,16,9,15,35,40,NORMAL
2018-06-11,Barra Funda,-23.5542,-46.6707,48,25,61,14,39,32,3,38,REABASTECER
2018-07-06,Barra Funda,-23.5542,-46.6707,69,65,6,43,30,43,43,25,NORMAL
2019-04-24,Barra Funda,-23.5542,-46.6707,38,42,14,9,16,18,20,16,NORMAL
2019-10-12,Barra Funda,-23.5542,-46.6707,86,17,51,26,12,4,43,17,REABASTECER
2018-01-16,Tatuapé,-23.5402,-46.5765,23,30,32,7,21,4,21,27,REABASTECER
2018-04-01,Tatuapé,-23.5402,-46.5765,53,42,15,19,26,35,8,16,NORMAL
2018-04-04,Tatuapé,-23.5402,-46.5765,26,12,59,13,13,29,37,43,NORMAL
2019-05-28,Tatuapé,-23.5402,-46.5765,47,46,55,43,30,17,3,11,NORMAL
2019-07-18,Tatuapé,-23.5402,-46.5765,75,17,25,22,5,23,30,25,REABASTECER
2019-09-26,Tatuapé,-23.5402,-46.5765,55,43,23,18,25,10,9,16,NORMAL
2019-11-12,Tatuapé,-23.5402,-46.5765,36,17,44,24,11,7,43,11,NORMAL
2018-05-16,República,-23.5436,-46.6434,74,58,65,10,16,27,39,16,NORMAL
2018-06-30,República,-23.5436,-46.6434,58,55,37,9,16,19,40,11,NORMAL
2018-11-20,República,-23.5436,-46.6434,74,28,30,15,20,39,43,8,NORMAL
2019-02-21,República,-23.5436,-46.6434,52,65,9,20,26,36,21,30,NORMAL
2019-05-21,República,-23.5436,-46.6434,35,3,30,28,7,16,32,21,REABASTECER
2018-12-09,Higienópolis-Mackenzie,-23.5488,-46.6519,16,50,17,15,1,7,10,25,REABASTECER
2019-09-12,Higienópolis-Mackenzie,-23.5488,-46.6519,77,8,21,8,32,8,16,7,REABASTECER
2018-01-19,Faria Lima,-23.5675,-46.6929,86,23,6,33,5,27,16,19,NORMAL
2018-02-07,Faria Lima,-23.5675,-46.6929,5,56,10,33,14,22,21,33,NORMAL
2018-07-02,Faria Lima,-23.5675,-46.6929,79,17,47,39,24,16,3,7,REABASTECER
2018-10-04,Faria Lima,-23.5675,-46.6929,51,4,55,28,38,28,1,18,NORMAL
2019-04-06,Faria Lima,-23.5675,-46.6929,24,29,14,22,27,19,14,43,NORMAL
2019-05-24,Faria Lima,-23.5675,-46.6929,19,56,65,5,5,28,7,18,REABASTECER
2018-12-10,Pinheiros,-23.5664,-46.703,33,13,50,43,31,24,11,28,NORMAL
2018-01-17,Butantã,-23.5844,-46.7252,86,33,18,38,19,41,25,23,NORMAL
2018-06-07,Butantã,-23.5844,-46.7252,35,18,65,10,25,7,18,13,NORMAL
2018-12-07,Butantã,-23.5844,-46.7252,44,55,34,42,38,4,30,8,REABASTECER
2019-01-17,Butantã,-23.5844,-46.7252,86,34,9,39,43,8,3,4,REABASTECER
2019-10-22,Butantã,-23.5844,-46.7252,31,20,65,10,19,30,36,17,NORMAL
2018-04-25,Fradique Coutinho,-23.5661,-46.6841,86,61,58,20,9,43,14,14,NORMAL
2018-09-24,Fradique Coutinho,-23.5661,-46.6841,36,62,24,29,4,8,18,11,REABASTECER
2019-04-15,Fradique Coutinho,-23.5661,-46.6841,8,51,65,24,37,37,24,33,NORMAL
2019-05-26,Fradique Coutinho,-23.5661,-46.6841,41,18,61,23,35,7,37,9,NORMAL
2018-03-18,Luz,-23.5365,-46.6332,12,41,56,30,10,43,31,34,NORMAL
2019-04-17,Luz,-23.5365,-46.6332,74,36,59,43,27,36,19,11,NORMAL
2019-11-25,Luz,-23.5365,-46.6332,42,63,27,24,39,31,17,36,NORMAL
2018-02-03,Ana Rosa,-23.5813,-46.6383,34,65,45,26,37,32,33,7,NORMAL
2018-09-06,Ana Rosa,-23.5813,-46.6383,39,65,41,27,15,22,29,13,NORMAL
2018-09-26,Ana Rosa,-23.5813,-46.6383,22,13,18,14,18,33,41,21,NORMAL
2018-10-18,Ana Rosa,-23.5813,-46.6383,0,28,43,31,6,30,43,19,NORMAL
2019-03-11,Ana Rosa,-23.5813,-46.6383,86,44,65,6,9,14,12,15,NORMAL
2019-04-16,Ana Rosa,-23.5813,-46.6383,86,42,14,42,6,15,36,5,REABASTECER
2018-04-26,São Joaquim,-23.5618,-46.6389,8,15,51,8,12,43,12,23,NORMAL
2018-05-28,São Joaquim,-23.5618,-46.6389,22,65,32,21,10,21,25,32,NORMAL
2018-07-23,São Joaquim,-23.5618,-46.6389,18,21,7,34,11,15,26,13,NORMAL
2019-01-20,São Joaquim,-23.5618,-46.6389,33,43,52,9,8,12,43,23,NORMAL
2019-03-23,São Joaquim,-23.5618,-46.6389,17,49,50,11,5,39,14,40,REABASTECER
2019-05-14,São Joaquim,-23.5618,-46.6389,53,9,17,24,18,21,23,16,NORMAL
2019-12-17,São Joaquim,-23.5618,-46.6389,73,7,52,29,33,10,31,43,NORMAL
2018-09-19,São Judas,-23.6255,-46.6411,86,65,61,19,8,17,41,9,NORMAL
2018-10-03,São Judas,-23.6255,-46.6411,38,39,31,10,43,18,26,40,NORMAL
2019-08-28,São Judas,-23.6255,-46.6411,76,33,50,20,11,20,8,18,NORMAL
2019-09-22,São Judas,-23.6255,-46.6411,86,18,9,32,43,33,43,6,REABASTECER
2019-09-27,São Judas,-23.6255,-46.6411,37,48,38,16,25,16,20,23,NORMAL
2019-01-13,Vila Mariana,-23.5895,-46.6346,12,15,1,15,30,31,24,12,REABASTECER
2019-03-30,Vila Mariana,-23.5895,-46.6346,61,15,0,6,18,21,21,8,NORMAL
2018-05-11,Fradique Coutinho,-23.5661,-46.6841,16,21,65,43,19,15,26,36,NORMAL
2018-07-19,Fradique Coutinho,-23.5661,-46.6841,53,44,3,13,16,37,32,5,NORMAL
2018-10-11,Fradique Coutinho,-23.5661,-46.6841,50,30,40,17,8,31,5,32,REABASTECER
2018-10-18,Fradique Coutinho,-23.5661,-46.6841,61,58,51,41,26,7,15,8,NORMAL
2019-01-10,Fradique Coutinho,-23.5661,-46.6841,18,19,56,13,18,42,29,22,NORMAL
2019-02-27,Fradique Coutinho,-23.5661,-46.6841,56,57,51,31,43,32,11,43,NORMAL
2019-04-22,Fradique Coutinho,-23.5661,-46.6841,28,15,20,43,1,20,43,43,REABASTECER
2019-05-25,Fradique Coutinho,-23.5661,-46.6841,50,21,65,28,41,9,41,14,NORMAL
2019-10-05,Fradique Coutinho,-23.5661,-46.6841,86,18,56,34,40,24,6,43,REABASTECER
2019-10-22,Fradique Coutinho,-23.5661,-46.6841,86,56,1,30,25,10,28,21,REABASTECER
2019-12-18,Fradique Coutinho,-23.5661,-46.6841,45,58,21,36,26,10,25,18,NORMAL
2018-03-04,Luz,-23.5365,-46.6332,65,2,15,34,25,9,7,43,REABASTECER
2018-06-01,Luz,-23.5365,-46.6332,60,12,7,12,31,7,5,33,NORMAL
2018-07-20,Luz,-23.5365,-46.6332,13,57,40,33,8,35,31,10,NORMAL
2019-08-12,Luz,-23.5365,-46.6332,78,21,23,28,41,7,17,40,NORMAL
2019-10-02,Luz,-23.5365,-46.6332,18,25,57,21,43,27,14,43,NORMAL
2018-09-10,Ana Rosa,-23.5813,-46.6383,8,44,7,13,43,11,16,41,NORMAL
2019-03-28,Ana Rosa,-23.5813,-46.6383,8,2,8,41,24,19,20,28,REABASTECER
2019-05-10,Ana Rosa,-23.5813,-46.6383,40,21,34,7,40,38,29,30,NORMAL
2019-10-03,Ana Rosa,-23.5813,-46.6383,58,10,65,30,27,30,15,23,NORMAL
2019-12-22,Ana Rosa,-23.5813,-46.6383,3,44,4,38,43,8,25,43,REABASTECER
2019-12-26,Ana Rosa,-23.5813,-46.6383,52,23,46,32,23,39,9,30,NORMAL
2018-01-23,São Joaquim,-23.5618,-46.6389,40,50,27,25,35,14,35,5,NORMAL
2018-02-16,São Joaquim,-23.5618,-46.6389,60,63,56,33,32,24,38,2,REABASTECER
2018-02-22,São Joaquim,-23.5618,-46.6389,13,16,11,16,12,43,13,27,NORMAL
2019-12-05,São Joaquim,-23.5618,-46.6389,27,30,65,22,33,8,38,7,NORMAL
2018-12-12,São Judas,-23.6255,-46.6411,66,7,13,32,13,38,7,13,REABASTECER
2019-07-23,São Judas,-23.6255,-46.6411,70,43,35,39,28,14,19,19,NORMAL
2018-06-25,Vila Mariana,-23.5895,-46.6346,68,13,46,27,14,38,13,9,NORMAL
2018-08-21,Vila Mariana,-23.5895,-46.6346,41,25,43,43,43,32,43,9,NORMAL
2018-10-30,Vila Mariana,-23.5895,-46.6346,17,9,55,35,18,43,22,34,NORMAL
2019-06-28,Vila Mariana,-23.5895,-46.6346,53,51,25,21,6,31,5,17,NORMAL
2018-04-28,Brooklin,-23.6263,-46.6878,6,65,65,18,13,41,16,8,NORMAL
2018-06-11,Brooklin,-23.6263,-46.6878,25,62,20,6,8,33,5,16,REABASTECER
2019-06-10,Brooklin,-23.6263,-46.6878,49,45,42,8,17,9,43,5,REABASTECER
2019-10-17,Brooklin,-23.6263,-46.6878,86,14,65,28,14,26,38,40,NORMAL
2018-09-13,Campo Belo,-23.6188,-46.6823,18,65,26,29,43,43,4,37,REABASTECER
2018-03-12,Eucaliptos,-23.61,-46.6686,6,15,50,31,11,36,8,15,REABASTECER
2018-03-23,Eucaliptos,-23.61,-46.6686,77,17,38,32,9,13,7,16,NORMAL
2018-02-15,Moema,-23.5489,-46.6388,7,65,12,43,36,18,35,38,NORMAL
2018-02-24,Moema,-23.5489,-46.6388,86,14,9,20,43,36,37,40,REABASTECER
2019-09-24,Hospital São Paulo,-23.5984,-46.6455,34,43,39,26,13,27,33,30,NORMAL
2018-03-23,Paraíso,-23.57677,-46.63933,54,30,4,37,43,29,8,20,NORMAL
2019-04-03,Paraíso,-23.57677,-46.63933,67,39,36,41,6,34,17,31,REABASTECER
2019-06-21,Paraíso,-23.57677,-46.63933,78,52,19,15,31,7,15,4,REABASTECER
2019-09-26,Paraíso,-23.57677,-46.63933,34,23,11,15,41,38,17,13,NORMAL
2018-06-24,Brigadeiro,-23.5683,-46.6482,19,14,59,16,43,28,30,4,REABASTECER
2018-12-20,Brigadeiro,-23.5683,-46.6482,64,65,33,9,43,26,34,30,NORMAL
